TissueType,ZT,Metabolite,Abundance,RelAbundance
Blood,24,Arg-bMCA_23369,0,NA
Blood,24,Tyr-bMCA_23804,235206,100
Blood,24,Trp-bMCA_25122,0,0
Brain,0,Ala-CA_17790,0,0
Brain,0,Ala-bMCA_17791,0,NA
Brain,0,Asn-CA_20646,0,0
Brain,0,Gln-CA_21582,18532563,98.13833027882734
Brain,0,His-CA_22165,2438,70.29988465974625
Brain,0,Arg-CA_23368,0,NA
Brain,0,Phe-CA_22812,6285,14.983550278930052
Brain,0,Tyr-CA_23803,0,0
Brain,0,Trp-CA_25121,0,0
Brain,0,Ornithine-CA_20652,0,NA
Brain,0,Arg-DCA_22370,0,NA
Brain,0,Ser-CA_18843,0,NA
Brain,0,Val-CA_19625,23230,100
Brain,0,Thr-CA_19755,0,NA
Brain,0,Ile-Leu-CA_20580,170508,85.32780855439955
Brain,0,Ile-Leu-gMCA_20581,0,NA
Brain,0,Lys-CA_21586,0,0
Brain,0,Lys-CA_21588,0,NA
Brain,0,Lys-bMCA_21589,0,NA
Brain,0,Lys-gMCA_21590,0,NA
Brain,0,Met-CA_21765,3333,100
Brain,0,Met-gMCA_21769,0,NA
Brain,0,Phe-bMCA_22813,0,NA
Brain,0,Arg-bMCA_23369,0,NA
Brain,0,Tyr-bMCA_23804,0,0
Brain,0,Trp-bMCA_25122,0,NA
Brain,4,Ala-CA_17790,2972,91.44615384615385
Brain,4,Ala-bMCA_17791,0,NA
Brain,4,Asn-CA_20646,2848,100
Brain,4,Gln-CA_21582,18274885,96.77380834683188
Brain,4,His-CA_22165,0,0
Brain,4,Arg-CA_23368,0,NA
Brain,4,Phe-CA_22812,6338,15.109903208887618
Brain,4,Tyr-CA_23803,0,0
Brain,4,Trp-CA_25121,0,0
Brain,4,Ornithine-CA_20652,0,NA
Brain,4,Arg-DCA_22370,0,NA
Brain,4,Ser-CA_18843,0,NA
Brain,4,Val-CA_19625,12645,54.433921653034865
Brain,4,Thr-CA_19755,0,NA
Brain,4,Ile-Leu-CA_20580,199827,100
Brain,4,Ile-Leu-gMCA_20581,0,NA
Brain,4,Lys-CA_21586,5071,45.70939246439517
Brain,4,Lys-CA_21588,0,NA
Brain,4,Lys-bMCA_21589,0,NA
Brain,4,Lys-gMCA_21590,0,NA
Brain,4,Met-CA_21765,0,0
Brain,4,Met-gMCA_21769,0,NA
Brain,4,Phe-bMCA_22813,0,NA
Brain,4,Arg-bMCA_23369,0,NA
Brain,4,Tyr-bMCA_23804,0,0
Brain,4,Trp-bMCA_25122,0,NA
Brain,8,Ala-CA_17790,0,0
Brain,8,Ala-bMCA_17791,0,NA
Brain,8,Asn-CA_20646,2647,92.94241573033707
Brain,8,Gln-CA_21582,18848477,99.81123825554408
Brain,8,His-CA_22165,3046,87.8316032295271
Brain,8,Arg-CA_23368,0,NA
Brain,8,Phe-CA_22812,6156,14.676012015448434
Brain,8,Tyr-CA_23803,0,0
Brain,8,Trp-CA_25121,0,0
Brain,8,Ornithine-CA_20652,0,NA
Brain,8,Arg-DCA_22370,0,NA
Brain,8,Ser-CA_18843,0,NA
Brain,8,Val-CA_19625,17964,77.33103745157125
Brain,8,Thr-CA_19755,0,NA
Brain,8,Ile-Leu-CA_20580,188641,94.40215786655457
Brain,8,Ile-Leu-gMCA_20581,0,NA
Brain,8,Lys-CA_21586,3830,34.523165675139715
Brain,8,Lys-CA_21588,0,NA
Brain,8,Lys-bMCA_21589,0,NA
Brain,8,Lys-gMCA_21590,0,NA
Brain,8,Met-CA_21765,0,0
Brain,8,Met-gMCA_21769,0,NA
Brain,8,Phe-bMCA_22813,0,NA
Brain,8,Arg-bMCA_23369,0,NA
Brain,8,Tyr-bMCA_23804,0,0
Brain,8,Trp-bMCA_25122,0,NA
Brain,12,Ala-CA_17790,3250,100
Brain,12,Ala-bMCA_17791,0,NA
Brain,12,Asn-CA_20646,0,0
Brain,12,Gln-CA_21582,18557060,98.26805300939843
Brain,12,His-CA_22165,0,0
Brain,12,Arg-CA_23368,0,NA
Brain,12,Phe-CA_22812,11133,26.541267343727647
